Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24,Sensor 25,Sensor 26,Sensor 27,Sensor 28,Sensor 29,Sensor 30,Sensor 31,Sensor 32,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7.0,Superior,21.94,Não,1
2024-03-08 15:38:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7.0,Superior,20.58,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.0,Superior,21.94,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7.0,Superior,20.58,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7.0,Superior,21.94,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,7.0,Superior,20.58,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,7.0,Superior,21.94,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,7.0,Superior,20.58,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7.0,Superior,21.94,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7.0,Superior,20.58,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,7.0,Superior,21.94,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,7.0,Superior,20.58,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,7.0,Superior,21.94,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7.0,Superior,20.58,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,7.0,Superior,21.94,Não,1
2024-03-08 15:38:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7.0,Superior,20.58,Não,1
2024-03-08 15:38:08,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:09,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:10,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:11,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:12,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:14,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:15,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:16,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:17,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:18,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:19,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:20,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:21,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:23,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
2024-03-08 15:38:24,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,,,,,,
