Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-02-03 09:48:43,26,20.7,Superior,25.7,Não,1
2024-02-03 09:48:43,27,20.7,Superior,25.7,Não,1
2024-02-03 09:48:44,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:44,1,20.0,Inferior,0.16,Não,0
2024-02-03 09:48:44,8,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:44,9,20.0,Inferior,0.12,Não,0
2024-02-03 09:48:45,18,20.7,Superior,25.7,Não,1
2024-02-03 09:48:45,19,20.7,Superior,25.7,Não,1
2024-02-03 09:48:45,26,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:45,27,20.0,Inferior,0.16,Não,0
2024-02-03 09:48:46,0,20.7,Superior,25.7,Não,1
2024-02-03 09:48:46,1,20.7,Superior,25.7,Não,1
2024-02-03 09:48:46,14,20.7,Superior,25.7,Não,1
2024-02-03 09:48:46,15,20.7,Superior,25.7,Não,1
2024-02-03 09:48:47,24,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:47,25,20.0,Inferior,0.16,Não,0
2024-02-03 09:48:48,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:48,1,20.0,Inferior,0.12,Não,0
2024-02-03 09:48:48,4,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:48,5,20.0,Inferior,0.16,Não,0
2024-02-03 09:48:49,18,20.7,Superior,25.7,Não,2
2024-02-03 09:48:49,19,20.7,Superior,25.7,Não,2
2024-02-03 09:48:49,28,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:49,29,20.0,Inferior,0.16,Não,0
2024-02-03 09:48:50,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:50,1,20.0,Inferior,0.12,Não,0
2024-02-03 09:48:50,8,20.0,Inferior,2.57,Não,0
2024-02-03 09:48:50,9,20.0,Inferior,0.16,Não,0
2024-02-03 09:48:51,18,20.7,Superior,25.7,Não,3
2024-02-03 09:48:51,19,20.7,Superior,25.7,Não,3
2024-02-03 09:48:51,30,20.7,Superior,25.7,Não,1
2024-02-03 09:48:51,31,20.7,Superior,25.7,Não,1
2024-02-03 09:48:52,6,20.7,Superior,25.7,Não,1
2024-02-03 09:48:52,7,20.7,Superior,25.7,Não,1
2024-02-03 09:50:08,28,20.7,Superior,25.7,Não,1
2024-02-03 09:50:08,29,20.7,Superior,25.7,Não,1
2024-02-03 09:50:09,22,20.7,Superior,25.7,Não,1
2024-02-03 09:50:09,23,20.7,Superior,25.7,Não,1
2024-02-03 09:50:10,0,20.7,Superior,25.7,Não,1
2024-02-03 09:50:10,1,20.7,Superior,25.7,Não,1
2024-02-03 09:50:11,12,20.7,Superior,25.7,Não,1
2024-02-03 09:50:11,13,20.7,Superior,25.7,Não,1
2024-02-03 09:50:12,24,20.7,Superior,25.7,Não,1
2024-02-03 09:50:12,25,20.7,Superior,25.7,Não,1
2024-02-03 09:50:15,16,20.0,Inferior,2.57,Não,0
2024-02-03 09:50:15,17,20.0,Inferior,0.16,Não,0
2024-02-03 09:50:16,4,20.0,Inferior,2.57,Não,0
2024-02-03 09:50:16,5,20.0,Inferior,0.16,Não,0
2024-02-03 09:50:18,26,20.0,Inferior,2.57,Não,0
2024-02-03 09:50:18,27,20.0,Inferior,0.16,Não,0
2024-02-03 09:50:19,12,20.0,Inferior,2.57,Não,0
2024-02-03 09:50:19,13,20.0,Inferior,0.16,Não,0
2024-02-03 09:50:20,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:50:20,1,20.0,Inferior,0.16,Não,0
2024-02-03 09:50:21,12,20.0,Inferior,2.57,Não,0
2024-02-03 09:50:21,13,20.0,Inferior,0.16,Não,0
2024-02-03 09:52:44,24,20.7,Superior,25.7,Não,2
2024-02-03 09:52:44,25,20.7,Superior,25.7,Não,2
2024-02-03 09:52:45,8,20.7,Superior,25.7,Não,1
2024-02-03 09:52:45,9,20.7,Superior,25.7,Não,1
2024-02-03 09:52:46,24,20.7,Superior,25.7,Não,3
2024-02-03 09:52:46,25,20.7,Superior,25.7,Não,3
2024-02-03 09:52:47,8,20.7,Superior,25.7,Não,2
2024-02-03 09:52:47,9,20.7,Superior,25.7,Não,2
2024-02-03 09:52:53,4,20.0,Inferior,2.57,Não,0
2024-02-03 09:52:53,5,20.0,Inferior,0.16,Não,0
2024-02-03 09:52:55,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:52:55,1,20.0,Inferior,0.16,Não,0
2024-02-03 09:52:56,16,20.0,Inferior,2.57,Não,0
2024-02-03 09:52:56,17,20.0,Inferior,0.16,Não,0
2024-02-03 09:52:57,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:52:57,1,20.0,Inferior,0.16,Não,0
2024-02-03 09:52:58,14,20.0,Inferior,2.57,Não,0
2024-02-03 09:52:58,15,20.0,Inferior,0.16,Não,0
2024-02-03 09:52:58,22,20.0,Inferior,2.57,Não,0
2024-02-03 09:52:58,23,20.0,Inferior,0.16,Não,0
2024-02-03 09:52:59,2,20.0,Inferior,2.57,Não,0
2024-02-03 09:52:59,3,20.0,Inferior,0.16,Não,0
2024-02-03 09:53:00,12,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:00,13,20.0,Inferior,0.16,Não,0
2024-02-03 09:53:01,26,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:01,27,20.0,Inferior,0.16,Não,0
2024-02-03 09:53:01,6,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:01,7,20.0,Inferior,0.16,Não,0
2024-02-03 09:53:02,18,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:02,19,20.0,Inferior,0.16,Não,0
2024-02-03 09:53:03,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:03,1,20.0,Inferior,0.16,Não,0
2024-02-03 09:53:04,16,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:04,17,20.0,Inferior,0.12,Não,0
2024-02-03 09:53:05,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:05,1,20.0,Inferior,0.12,Não,0
2024-02-03 09:53:06,10,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:06,11,20.0,Inferior,0.12,Não,0
2024-02-03 09:53:06,20,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:06,21,20.0,Inferior,0.12,Não,0
2024-02-03 09:53:07,0,20.0,Inferior,2.57,Não,0
2024-02-03 09:53:07,1,20.0,Inferior,0.12,Não,0
