Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-02-03 17:00:00,8,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,9,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,10,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,11,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,12,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,13,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,14,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,15,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,16,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,17,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,18,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,19,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,20,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,21,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,22,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,23,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,24,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,25,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,26,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,27,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,28,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,29,7.0,Superior,20.58,Não,2
2024-02-03 17:00:00,30,7.0,Superior,21.94,Não,2
2024-02-03 17:00:00,31,7.0,Superior,20.58,Não,2
2024-02-03 17:00:05,0,7.0,Superior,21.94,Não,3
2024-02-03 17:00:05,1,7.0,Superior,20.58,Não,3
2024-02-03 17:00:05,2,7.0,Superior,21.94,Não,3
2024-02-03 17:00:05,3,7.0,Superior,20.58,Não,3
2024-02-03 17:00:05,4,7.0,Superior,21.94,Não,3
2024-02-03 17:00:05,5,7.0,Superior,20.58,Não,3
2024-02-03 17:00:05,6,7.0,Superior,21.94,Não,3
2024-02-03 17:00:05,7,7.0,Superior,20.58,Não,3
2024-02-03 17:00:05,8,7.0,Superior,21.94,Não,3
2024-02-03 17:00:05,9,7.0,Superior,20.58,Não,3
2024-02-03 17:00:05,10,7.0,Superior,21.94,Não,3
2024-02-03 17:00:05,11,7.0,Superior,20.58,Não,3
2024-02-03 17:00:05,12,7.0,Superior,21.94,Não,3
2024-02-03 17:00:05,13,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,14,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,15,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,16,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,17,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,18,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,19,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,20,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,21,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,22,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,23,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,24,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,25,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,26,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,27,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,28,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,29,7.0,Superior,20.58,Não,3
2024-02-03 17:00:06,30,7.0,Superior,21.94,Não,3
2024-02-03 17:00:06,31,7.0,Superior,20.58,Não,3
