Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-01-26 16:49:08,0,20.0,Superior,21.94,Não,1
2024-01-26 16:49:08,2,20.0,Superior,21.94,Não,1
2024-01-26 16:49:08,4,20.0,Superior,21.94,Não,1
2024-01-26 16:49:08,6,20.0,Superior,21.94,Não,1
2024-01-26 16:49:08,8,20.0,Superior,21.94,Não,1
2024-01-26 16:49:09,10,20.0,Superior,21.94,Não,1
2024-01-26 16:49:09,12,20.0,Superior,21.94,Não,1
2024-01-26 16:49:09,14,20.0,Superior,21.94,Não,1
2024-01-26 16:49:09,16,20.0,Superior,21.94,Não,1
2024-01-26 16:49:10,18,20.0,Superior,21.94,Não,1
2024-01-26 16:49:10,20,20.0,Superior,21.94,Não,1
2024-01-26 16:49:10,22,20.0,Superior,21.94,Não,1
2024-01-26 16:49:10,24,20.0,Superior,21.94,Não,1
2024-01-26 16:49:10,26,20.0,Superior,21.94,Não,1
2024-01-26 16:49:11,28,20.0,Superior,21.94,Não,1
2024-01-26 16:49:11,30,20.0,Superior,21.94,Não,1
2024-01-26 16:49:11,0,20.0,Superior,21.94,Não,2
2024-01-26 16:49:11,2,20.0,Superior,21.94,Não,2
2024-01-26 16:49:12,4,20.0,Superior,21.94,Não,2
2024-01-26 16:49:12,6,20.0,Superior,21.94,Não,2
2024-01-26 16:49:12,8,20.0,Superior,21.94,Não,2
2024-01-26 16:49:12,10,20.0,Superior,21.94,Não,2
2024-01-26 16:49:13,12,20.0,Superior,21.94,Não,2
2024-01-26 16:49:13,14,20.0,Superior,21.94,Não,2
2024-01-26 16:49:13,16,20.0,Superior,21.94,Não,2
2024-01-26 16:49:13,18,20.0,Superior,21.94,Não,2
2024-01-26 16:49:13,20,20.0,Superior,21.94,Não,2
2024-01-26 16:49:14,22,20.0,Superior,21.94,Não,2
2024-01-26 16:49:14,24,20.0,Superior,21.94,Não,2
2024-01-26 16:49:14,26,20.0,Superior,21.94,Não,2
2024-01-26 16:49:14,28,20.0,Superior,21.94,Não,2
2024-01-26 16:49:15,30,20.0,Superior,21.94,Não,2
2024-01-26 16:49:16,0,20.0,Superior,21.94,Sim,3
2024-01-26 16:49:20,2,20.0,Superior,21.94,Sim,3
2024-01-26 16:49:25,4,20.0,Superior,21.94,Sim,3
2024-01-26 16:49:29,6,20.0,Superior,21.94,Sim,3
2024-01-26 16:49:34,8,20.0,Superior,21.94,Sim,3
