Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-01-26 17:08:17,0,20.0,Superior,21.94,Não,1
2024-01-26 17:08:18,2,20.0,Superior,21.94,Não,1
2024-01-26 17:08:18,4,20.0,Superior,21.94,Não,1
2024-01-26 17:08:18,6,20.0,Superior,21.94,Não,1
2024-01-26 17:08:18,8,20.0,Superior,21.94,Não,1
2024-01-26 17:08:18,10,20.0,Superior,21.94,Não,1
2024-01-26 17:08:19,12,20.0,Superior,21.94,Não,1
2024-01-26 17:08:19,14,20.0,Superior,21.94,Não,1
2024-01-26 17:08:19,16,20.0,Superior,21.94,Não,1
2024-01-26 17:08:19,18,20.0,Superior,21.94,Não,1
2024-01-26 17:08:19,20,20.0,Superior,21.94,Não,1
2024-01-26 17:08:20,22,20.0,Superior,21.94,Não,1
2024-01-26 17:08:20,24,20.0,Superior,21.94,Não,1
2024-01-26 17:08:20,26,20.0,Superior,21.94,Não,1
2024-01-26 17:08:20,28,20.0,Superior,21.94,Não,1
2024-01-26 17:08:21,30,20.0,Superior,21.94,Não,1
2024-01-26 17:08:21,0,20.0,Superior,21.94,Não,2
2024-01-26 17:08:21,2,20.0,Superior,21.94,Não,2
2024-01-26 17:08:21,4,20.0,Superior,21.94,Não,2
2024-01-26 17:08:22,6,20.0,Superior,21.94,Não,2
2024-01-26 17:08:22,8,20.0,Superior,21.94,Não,2
2024-01-26 17:08:22,10,20.0,Superior,21.94,Não,2
2024-01-26 17:08:22,12,20.0,Superior,21.94,Não,2
2024-01-26 17:08:22,14,20.0,Superior,21.94,Não,2
2024-01-26 17:08:23,16,20.0,Superior,21.94,Não,2
2024-01-26 17:08:23,18,20.0,Superior,21.94,Não,2
2024-01-26 17:08:23,20,20.0,Superior,21.94,Não,2
2024-01-26 17:08:23,22,20.0,Superior,21.94,Não,2
2024-01-26 17:08:24,24,20.0,Superior,21.94,Não,2
2024-01-26 17:08:24,26,20.0,Superior,21.94,Não,2
2024-01-26 17:08:24,28,20.0,Superior,21.94,Não,2
2024-01-26 17:08:24,30,20.0,Superior,21.94,Não,2
2024-01-26 17:08:26,0,20.0,Superior,21.94,Sim,3
2024-01-26 17:08:30,2,20.0,Superior,21.94,Sim,3
2024-01-26 17:08:35,4,20.0,Superior,21.94,Sim,3
2024-01-26 17:08:39,6,20.0,Superior,21.94,Sim,3
2024-01-26 17:08:43,8,20.0,Superior,21.94,Sim,3
2024-01-26 17:08:48,10,20.0,Superior,21.94,Sim,3
2024-01-26 17:08:52,12,20.0,Superior,21.94,Sim,3
2024-01-26 17:08:57,14,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:01,16,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:06,18,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:10,20,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:15,22,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:19,24,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:23,26,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:28,28,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:32,30,20.0,Superior,21.94,Sim,3
2024-01-26 17:09:37,0,20.0,Superior,21.94,Sim,4
2024-01-26 17:09:41,2,20.0,Superior,21.94,Sim,4
2024-01-26 17:09:46,4,20.0,Superior,21.94,Sim,4
2024-01-26 17:09:50,6,20.0,Superior,21.94,Sim,4
2024-01-26 17:09:55,8,20.0,Superior,21.94,Sim,4
2024-01-26 17:09:59,10,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:04,12,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:08,14,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:13,16,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:17,18,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:21,20,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:26,22,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:30,24,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:35,26,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:39,28,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:44,30,20.0,Superior,21.94,Sim,4
2024-01-26 17:10:48,0,20.0,Superior,21.94,Sim,5
2024-01-26 17:10:53,2,20.0,Superior,21.94,Sim,5
2024-01-26 17:10:57,4,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:02,6,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:06,8,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:10,10,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:15,12,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:19,14,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:24,16,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:28,18,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:33,20,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:37,22,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:42,24,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:46,26,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:51,28,20.0,Superior,21.94,Sim,5
2024-01-26 17:11:55,30,20.0,Superior,21.94,Sim,5
2024-01-26 17:12:00,0,20.0,Superior,21.94,Sim,6
2024-01-26 17:12:04,2,20.0,Superior,21.94,Não,1
2024-01-26 17:12:04,4,20.0,Superior,21.94,Não,1
2024-01-26 17:12:05,6,20.0,Superior,21.94,Não,1
2024-01-26 17:12:05,8,20.0,Superior,21.94,Não,1
2024-01-26 17:12:05,10,20.0,Superior,21.94,Não,1
2024-01-26 17:12:05,12,20.0,Superior,21.94,Não,1
2024-01-26 17:12:05,14,20.0,Superior,21.94,Não,1
2024-01-26 17:12:06,16,20.0,Superior,21.94,Não,1
2024-01-26 17:12:06,18,20.0,Superior,21.94,Não,1
2024-01-26 17:12:06,20,20.0,Superior,21.94,Não,1
2024-01-26 17:12:06,22,20.0,Superior,21.94,Não,1
2024-01-26 17:12:06,24,20.0,Superior,21.94,Não,1
2024-01-26 17:12:07,26,20.0,Superior,21.94,Não,1
