Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-02-07 18:03:43,0,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,1,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,2,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,3,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,4,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,5,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,6,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,7,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,8,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,9,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,10,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,11,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,12,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,13,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,14,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,15,7.0,Superior,20.58,Não,1
2024-02-07 18:03:43,16,7.0,Superior,21.94,Não,1
2024-02-07 18:03:43,17,7.0,Superior,20.58,Não,1
2024-02-07 18:03:44,18,7.0,Superior,21.94,Não,1
2024-02-07 18:03:44,19,7.0,Superior,20.58,Não,1
2024-02-07 18:03:44,20,7.0,Superior,21.94,Não,1
2024-02-07 18:03:44,21,7.0,Superior,20.58,Não,1
2024-02-07 18:03:44,22,7.0,Superior,21.94,Não,1
2024-02-07 18:03:44,23,7.0,Superior,20.58,Não,1
2024-02-07 18:03:44,24,7.0,Superior,21.94,Não,1
2024-02-07 18:03:44,25,7.0,Superior,20.58,Não,1
2024-02-07 18:03:44,26,7.0,Superior,21.94,Não,1
2024-02-07 18:03:44,27,7.0,Superior,20.58,Não,1
2024-02-07 18:03:44,28,7.0,Superior,21.94,Não,1
2024-02-07 18:03:44,29,7.0,Superior,20.58,Não,1
2024-02-07 18:03:44,30,7.0,Superior,21.94,Não,1
2024-02-07 18:03:44,31,7.0,Superior,20.58,Não,1
