Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
20240126_154844,0,20.0,Superior,21.94,Não,1
20240126_154844,2,20.0,Superior,21.94,Não,1
20240126_154844,4,20.0,Superior,21.94,Não,1
20240126_154845,6,20.0,Superior,21.94,Não,1
20240126_154845,8,20.0,Superior,21.94,Não,1
20240126_154845,10,20.0,Superior,21.94,Não,1
20240126_154845,12,20.0,Superior,21.94,Não,1
20240126_154845,14,20.0,Superior,21.94,Não,1
20240126_154846,16,20.0,Superior,21.94,Não,1
20240126_154846,18,20.0,Superior,21.94,Não,1
20240126_154846,20,20.0,Superior,21.94,Não,1
20240126_154846,22,20.0,Superior,21.94,Não,1
20240126_154847,24,20.0,Superior,21.94,Não,1
20240126_154847,26,20.0,Superior,21.94,Não,1
20240126_154847,28,20.0,Superior,21.94,Não,1
20240126_154847,30,20.0,Superior,21.94,Não,1
20240126_154848,0,20.0,Superior,21.94,Não,2
20240126_154848,2,20.0,Superior,21.94,Não,2
20240126_154848,4,20.0,Superior,21.94,Não,2
20240126_154848,6,20.0,Superior,21.94,Não,2
20240126_154848,8,20.0,Superior,21.94,Não,2
20240126_154849,10,20.0,Superior,21.94,Não,2
20240126_154849,12,20.0,Superior,21.94,Não,2
20240126_154849,14,20.0,Superior,21.94,Não,2
20240126_154849,16,20.0,Superior,21.94,Não,2
20240126_154850,18,20.0,Superior,21.94,Não,2
20240126_154850,20,20.0,Superior,21.94,Não,2
20240126_154850,22,20.0,Superior,21.94,Não,2
20240126_154850,24,20.0,Superior,21.94,Não,2
20240126_154850,26,20.0,Superior,21.94,Não,2
20240126_154851,28,20.0,Superior,21.94,Não,2
20240126_154851,30,20.0,Superior,21.94,Não,2
20240126_154852,0,20.0,Superior,21.94,Sim,3
20240126_154857,2,20.0,Superior,21.94,Sim,3
20240126_154901,4,20.0,Superior,21.94,Sim,3
20240126_154906,6,20.0,Superior,21.94,Sim,3
20240126_154910,8,20.0,Superior,21.94,Sim,3
