Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24,Sensor 25,Sensor 26,Sensor 27,Sensor 28,Sensor 29,Sensor 30,Sensor 31,Sensor 32
2024-01-26 09:44:21,22.47,22.56,22.21,22.38,22.03,22.38,21.24,21.77,22.12,22.38,21.68,21.94,22.21,22.03,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.77,22.65
2024-01-26 09:44:23,22.47,22.65,22.21,22.38,22.03,22.38,21.24,21.77,22.12,22.29,21.68,21.94,22.29,22.03,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.65,21.77,22.47,22.03,22.21,21.77,22.74
2024-01-26 09:44:25,22.47,22.56,22.12,22.38,22.03,22.47,21.24,21.77,22.12,22.29,21.68,21.94,22.21,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.65,21.77,22.38,22.12,22.21,21.68,22.74
2024-01-26 09:44:27,22.47,22.65,22.21,22.38,22.03,22.38,21.24,21.77,22.12,22.29,21.68,21.94,22.21,22.03,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.68,22.65
2024-01-26 09:44:29,22.47,22.65,22.21,22.38,22.03,22.47,21.24,21.77,22.12,22.29,21.68,21.94,22.21,22.12,21.94,22.29,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.47,22.03,22.21,21.68,22.65
2024-01-26 09:44:31,22.47,22.65,22.21,22.38,22.03,22.38,21.24,21.85,22.12,22.29,21.68,21.94,22.29,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.68,22.65
2024-01-26 09:44:33,22.47,22.65,22.21,22.47,22.03,22.47,21.24,21.77,22.12,22.29,21.68,21.94,22.29,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.77,22.65
2024-01-26 09:44:34,22.47,22.65,22.21,22.38,22.03,22.38,21.24,21.77,22.12,22.29,21.68,21.94,22.21,22.12,21.94,22.21,22.12,22.03,21.59,22.38,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.77,22.65
2024-01-26 09:44:36,22.47,22.65,22.21,22.38,22.12,22.38,21.24,21.77,22.12,22.29,21.68,21.85,22.21,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.94,21.94,22.21,21.59,22.56,21.77,22.47,22.03,22.21,21.68,22.74
2024-01-26 09:44:38,22.47,22.65,22.21,22.38,22.12,22.47,21.24,21.85,22.12,22.29,21.68,21.94,22.21,22.12,21.94,22.21,22.12,22.03,21.59,22.38,21.06,21.85,21.94,22.21,21.68,22.65,21.77,22.47,22.03,22.21,21.68,22.65
2024-01-26 09:44:41,22.47,22.65,22.21,22.38,22.12,22.38,21.24,21.77,22.12,22.29,21.68,21.94,22.29,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.77,22.65
2024-01-26 09:44:42,22.47,22.65,22.21,22.47,22.12,22.38,21.15,21.77,22.12,22.29,21.68,21.94,22.29,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.68,22.65
2024-01-26 09:44:44,22.47,22.65,22.29,22.47,22.12,22.47,21.24,21.85,22.12,22.29,21.68,21.94,22.29,22.12,21.94,22.21,22.12,22.03,21.59,22.38,21.06,21.85,21.94,22.21,21.59,22.65,21.77,22.47,21.94,22.21,21.77,22.65
2024-01-26 09:44:46,22.47,22.65,22.12,22.47,22.12,22.47,21.24,21.77,22.12,22.29,21.68,21.94,22.21,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.29,21.59,22.65,21.77,22.38,21.94,22.21,21.68,22.65
2024-01-26 09:44:48,22.47,22.74,22.21,22.47,22.12,22.47,21.33,21.77,22.12,22.29,21.68,21.94,22.21,22.12,21.94,22.21,22.12,22.03,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.65,21.77,22.29,22.03,22.21,21.77,22.65
2024-01-26 09:44:50,22.47,22.56,22.21,22.47,22.12,22.47,21.33,21.77,22.12,22.29,21.68,21.85,22.29,22.12,21.94,22.21,22.12,21.94,21.59,22.47,21.06,21.85,21.94,22.21,21.59,22.65,21.77,22.47,21.94,22.21,21.68,22.65
2024-01-26 09:44:52,22.47,22.65,22.21,22.47,22.12,22.47,21.24,21.77,22.12,22.29,21.68,21.94,22.29,22.12,21.94,22.21,22.12,22.03,21.59,22.38,21.06,21.85,21.94,22.21,21.59,22.56,21.77,22.38,22.03,22.21,21.77,22.65
