Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-02-03 10:00:00,24,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:00,25,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:00,0,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:00,1,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:01,6,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:01,7,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:01,18,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:01,19,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:02,28,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:02,29,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:03,2,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:03,3,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:03,12,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:03,13,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:04,24,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:04,25,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:04,0,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:04,1,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:05,6,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:05,7,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:05,16,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:05,17,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:06,28,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:06,29,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:07,4,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:07,5,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:07,8,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:07,9,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:07,12,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:07,13,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:07,16,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:07,17,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:08,20,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:08,21,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:08,26,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:08,27,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:09,6,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:09,7,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:09,10,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:09,11,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:09,14,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:09,15,20.0,Inferior,0.16,Não,0
2024-02-03 10:00:10,20,20.0,Inferior,2.57,Não,0
2024-02-03 10:00:10,21,20.0,Inferior,0.16,Não,0
