Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-02-03 12:14:07,18,20.7,Superior,25.7,Não,1
2024-02-03 12:14:07,19,20.7,Superior,25.7,Não,1
2024-02-03 12:14:08,2,20.0,Inferior,2.57,Não,0
2024-02-03 12:14:08,3,20.0,Inferior,0.16,Não,0
2024-02-03 12:14:09,14,20.7,Superior,25.7,Não,1
2024-02-03 12:14:09,15,20.7,Superior,25.7,Não,1
2024-02-03 12:14:09,22,20.0,Inferior,2.57,Não,0
2024-02-03 12:14:09,23,20.0,Inferior,0.16,Não,0
2024-02-03 12:14:10,0,20.7,Superior,25.7,Não,1
2024-02-03 12:14:10,1,20.7,Superior,25.7,Não,1
2024-02-03 12:14:10,4,20.0,Inferior,2.57,Não,0
2024-02-03 12:14:10,5,20.0,Inferior,0.16,Não,0
2024-02-03 12:14:11,18,20.7,Superior,25.7,Não,2
2024-02-03 12:14:11,19,20.7,Superior,25.7,Não,2
