Timestamp,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-01-31 12:31:34,4,20.0,Inferior,7.86,Não,0
2024-01-31 12:31:34,5,23.7,Superior,30.76,Não,1
2024-01-31 12:32:28,12,23.7,Superior,25.78,Não,1
2024-01-31 12:32:28,13,23.7,Superior,38.54,Não,1
2024-01-31 12:33:03,16,23.7,Superior,25.78,Não,1
2024-01-31 12:33:03,17,23.7,Superior,38.54,Não,1
2024-01-31 12:33:08,26,23.7,Superior,25.78,Não,1
2024-01-31 12:33:08,27,23.7,Superior,38.41,Não,1
2024-01-31 12:33:11,0,23.7,Superior,25.78,Não,1
2024-01-31 12:33:11,1,23.7,Superior,38.42,Não,1
2024-01-31 12:33:15,8,23.7,Superior,25.78,Não,1
2024-01-31 12:33:15,9,23.7,Superior,38.43,Não,1
2024-01-31 12:33:20,16,23.7,Superior,25.78,Não,2
2024-01-31 12:33:20,17,23.7,Superior,38.44,Não,2
2024-01-31 12:33:24,24,23.7,Superior,25.78,Não,1
2024-01-31 12:33:24,25,23.7,Superior,38.45,Não,1
2024-01-31 12:33:28,0,23.7,Superior,25.78,Não,2
2024-01-31 12:33:28,1,23.7,Superior,38.46,Não,2
2024-01-31 12:33:32,8,23.7,Superior,25.78,Não,2
2024-01-31 12:33:32,9,23.7,Superior,38.47,Não,2
2024-01-31 12:33:36,16,23.7,Superior,25.78,Sim,3
2024-01-31 12:33:36,17,23.7,Superior,38.48,Sim,3
2024-01-31 12:34:19,2,23.7,Superior,25.78,Não,1
2024-01-31 12:34:19,3,23.7,Superior,38.54,Não,1
